Vardas                           Pavarde       ND1       ND2       ND3       ND4       ND5      Egz.
Vardas66                       Pavarde66         4         9         4         7         1         5
Vardas67                       Pavarde67         1        10         3         5        10         3
Vardas68                       Pavarde68        10         2         1        10         4         1
Vardas69                       Pavarde69         1         4         1         2        10         9
Vardas70                       Pavarde70         7        10         1         2         7         5
Vardas71                       Pavarde71         5         9         7         2         5         1
Vardas72                       Pavarde72         9         2         1         4         2         2
Vardas73                       Pavarde73         6         1         9         5        10         4
Vardas74                       Pavarde74         1         6         3         4         9         8
Vardas75                       Pavarde75         9         1         5         6         8         2
Vardas76                       Pavarde76         1         7         1         4         4         6
Vardas77                       Pavarde77         1         3         4         3         8         2
Vardas78                       Pavarde78         1         1        10         8         2         8
Vardas79                       Pavarde79         5         6         2         8         9         3
Vardas80                       Pavarde80         6         5         6         4         1         2
Vardas81                       Pavarde81        10         5         6        10         4        10
Vardas82                       Pavarde82         7         7         5         1         9         3
Vardas83                       Pavarde83         1         7         1         8         3        10
Vardas84                       Pavarde84         9         2         2         7         2         2
Vardas85                       Pavarde85         9         2         2         6         1         1
Vardas86                       Pavarde86         9         4         8         1         2         4
Vardas87                       Pavarde87         5         4         8         8         6         2
Vardas88                       Pavarde88         3         7         7         6         5         2
Vardas89                       Pavarde89         8         2         4         5         9         7
Vardas90                       Pavarde90         2         6         1         7         6         4
Vardas91                       Pavarde91         2         1         2        10         6         8
Vardas92                       Pavarde92         7         9         6         5         8        10
Vardas93                       Pavarde93         7         7         7         7         8         1
Vardas94                       Pavarde94         5         2         1         9         2         5
Vardas95                       Pavarde95         9         9         5         6         8        10
Vardas96                       Pavarde96         9         5         6         9         9        10
Vardas97                       Pavarde97         5         8         1         5         1         7
Vardas98                       Pavarde98         6         4         9         6         2         3
Vardas99                       Pavarde99         5         7         8         6         6         1
Vardas100                     Pavarde100         6         3         1         8         8        10
Vardas101                     Pavarde101         8         6         4        10        10         5
Vardas102                     Pavarde102        10         2         6        10         9         4
Vardas103                     Pavarde103         1        10         1         8         7         9
Vardas104                     Pavarde104         4         9         7         2        10         7
Vardas105                     Pavarde105         8         9        10         8         6         6
Vardas106                     Pavarde106         3         5        10         5         5         8
Vardas107                     Pavarde107        10         6         6         7         2         6
Vardas108                     Pavarde108        10         2         4         9         9        10
Vardas109                     Pavarde109         5         4        10         6         2         8
Vardas110                     Pavarde110         5         6         2         5         7         1
Vardas111                     Pavarde111         4         3         3         2         5         8
Vardas112                     Pavarde112         8         1        10         6         8         3
Vardas113                     Pavarde113        10         8         7         9         3        10
Vardas114                     Pavarde114        10         9         4         8         2         3
Vardas115                     Pavarde115         7         2         8         7         6         1
Vardas116                     Pavarde116         5         6         2         3         4         8
Vardas117                     Pavarde117         3         5         2         9         3         7
Vardas118                     Pavarde118         1         4        10         5        10         7
Vardas119                     Pavarde119         6         2         4         3         7        10
Vardas120                     Pavarde120         1         1         4        10         6         4
Vardas121                     Pavarde121         2         2         3         7        10         2
Vardas122                     Pavarde122        10         1         7         2         8         4
Vardas123                     Pavarde123         9         8         1         4         7        10
Vardas124                     Pavarde124         2         5         2         5         7         2
Vardas125                     Pavarde125         1         3         5         1         5         4
Vardas126                     Pavarde126         2         8        10         5         8         1
Vardas127                     Pavarde127         2         2         6         3         3         3
Vardas128                     Pavarde128         5        10         8         8         3         1
Vardas129                     Pavarde129        10         1         8         2         7         1
Vardas130                     Pavarde130        10         3        10         7         1         3
Vardas131                     Pavarde131         9         5         5         9         1         2
Vardas132                     Pavarde132         6         2         2         2         6         2
Vardas133                     Pavarde133         8         1         9         6         4         8
Vardas134                     Pavarde134        10         7         4         2         6         9
Vardas135                     Pavarde135         1        10         3         5         4         4
Vardas136                     Pavarde136        10         1         6         6         5         5
Vardas137                     Pavarde137         4         9         3         3         7         5
Vardas138                     Pavarde138         1         1         1         9         2         8
Vardas139                     Pavarde139         7         8         2         5         9         2
Vardas140                     Pavarde140         9         6         4         2        10         4
Vardas141                     Pavarde141        10         2         1         5        10         1
Vardas142                     Pavarde142         1         1         4         3         9         3
Vardas143                     Pavarde143         5         9         4         6         1         1
Vardas144                     Pavarde144         7         8         1         8         4         4
Vardas145                     Pavarde145         3         2         5         1         1         9
Vardas146                     Pavarde146         8         4         9         5         6         3
Vardas147                     Pavarde147        10         1        10         9         1         6
Vardas148                     Pavarde148         4         6         6         5         6         2
Vardas149                     Pavarde149         2         7         2        10         4         5
Vardas150                     Pavarde150         8        10         9         1         8         6
Vardas151                     Pavarde151         9         5         3         6         1         8
Vardas152                     Pavarde152         1         8         7         9         3         4
Vardas153                     Pavarde153        10         1         4         9         4         2
Vardas154                     Pavarde154         1         1         9         1         5         8
Vardas155                     Pavarde155         7         2         7         2         5        10
Vardas156                     Pavarde156         7         5         3         9         5         5
Vardas157                     Pavarde157        10         9         2         1         4         8
Vardas158                     Pavarde158         5         4         5         9         2         3
Vardas159                     Pavarde159         9         4        10        10        10         7
Vardas160                     Pavarde160         2         8         4        10         9         5
Vardas161                     Pavarde161         1         7         4         5         7        10
Vardas162                     Pavarde162         8         5        10         5         2        10
Vardas163                     Pavarde163         7         8         1        10         8         4
Vardas164                     Pavarde164         2         6         7         5         6         2
Vardas165                     Pavarde165         3         9         9         1         8         8
Vardas166                     Pavarde166        10         7         1         2         3         4
Vardas167                     Pavarde167         3         2         2         1         2         4
Vardas168                     Pavarde168         9         1         1        10         5         3
Vardas169                     Pavarde169         5         1         3        10         8        10
Vardas170                     Pavarde170         3         3         4         2         4         3
Vardas171                     Pavarde171         2         7         9         2         1         7
Vardas172                     Pavarde172         1         5        10        10         5         6
Vardas173                     Pavarde173         1         7        10         1         9         9
Vardas174                     Pavarde174         3         9         1         3         1        10
Vardas175                     Pavarde175         6         4         6        10         9        10
Vardas176                     Pavarde176         2         3         9         5         1         2
Vardas177                     Pavarde177         1         9         2         5        10         6
Vardas178                     Pavarde178        10         1         3         4         6        10
Vardas179                     Pavarde179         1         2         4         7        10         1
Vardas180                     Pavarde180         5         1         3         5         5         2
Vardas181                     Pavarde181        10         1         3         2         6         5
Vardas182                     Pavarde182        10         1         3         1         4         9
Vardas183                     Pavarde183         3         2         7         9         4         3
Vardas184                     Pavarde184        10         8         4         5         9         7
Vardas185                     Pavarde185         2         2         6         7        10         9
Vardas186                     Pavarde186         1         3         3         7         8         7
Vardas187                     Pavarde187         2         3         2         4         7         6
Vardas188                     Pavarde188         8         4         7         4         3         6
Vardas189                     Pavarde189         1         4         8         4         6        10
Vardas190                     Pavarde190         2         9         5         1         9        10
Vardas191                     Pavarde191         6         9         3         4         3         7
Vardas192                     Pavarde192         7         7         4         5         5         3
Vardas193                     Pavarde193        10         3         9        10         3         6
Vardas194                     Pavarde194         7         8         3         9         1         1
Vardas195                     Pavarde195         9         3         6         9         1         4
Vardas196                     Pavarde196         3         4         4         3         2        10
Vardas197                     Pavarde197         2         7         4        10         2         8
Vardas198                     Pavarde198        10         7         7         7         5         5
Vardas199                     Pavarde199         5         6         8         7         8         8
Vardas200                     Pavarde200         1         3         2         2         5         4
Vardas201                     Pavarde201         8         5         5         4         1         8
Vardas202                     Pavarde202        10        10        10         5         5         2
Vardas203                     Pavarde203         3        10         5         8         4         1
Vardas204                     Pavarde204        10         1         4         2         2         6
Vardas205                     Pavarde205         4        10         7         4         2         9
Vardas206                     Pavarde206         2         4         1         9         8         7
Vardas207                     Pavarde207         3        10         2         5         2         3
Vardas208                     Pavarde208         6         1         5         3         7         8
Vardas209                     Pavarde209         7         4         5         2        10         6
Vardas210                     Pavarde210        10         9         9         9         8         4
Vardas211                     Pavarde211         9         9        10         7         9         7
Vardas212                     Pavarde212        10         6        10         7         9         7
Vardas213                     Pavarde213        10         5         8         7         9         2
Vardas214                     Pavarde214         4         9         1         9         2         2
Vardas215                     Pavarde215         9         8         7         2         9         9
Vardas216                     Pavarde216         4         6         7         9         9        10
Vardas217                     Pavarde217        10         4         8         3         4         9
Vardas218                     Pavarde218         4         6         2         6         5         3
Vardas219                     Pavarde219         3        10         2         6         9         9
Vardas220                     Pavarde220         1         5         1         9         6         6
Vardas221                     Pavarde221        10         6         8         8         4         8
Vardas222                     Pavarde222         7         5         4         6         5         6
Vardas223                     Pavarde223         7        10         5         4         7         4
Vardas224                     Pavarde224         5         8         5         1         8         6
Vardas225                     Pavarde225         1         3         6         5         3         2
Vardas226                     Pavarde226         6         2         7         1         1         3
Vardas227                     Pavarde227         4         1         6         1         6         8
Vardas228                     Pavarde228         5         9         1         7         1         6
Vardas229                     Pavarde229        10         3         9         4         8         7
Vardas230                     Pavarde230         3        10         9         6        10         3
Vardas231                     Pavarde231         6         6        10         2         2         5
Vardas232                     Pavarde232         5         3         7         4         7        10
Vardas233                     Pavarde233         2         1         5         6         9         3
Vardas234                     Pavarde234         2         7         1         9         5         8
Vardas235                     Pavarde235         9         2         8         1         5         7
Vardas236                     Pavarde236        10         6         4         3        10         5
Vardas237                     Pavarde237         2         7         7         1         3         4
Vardas238                     Pavarde238         4         6         9         2         9         2
Vardas239                     Pavarde239         2         4         1         8         3         4
Vardas240                     Pavarde240         6         9         4         6         7         2
Vardas241                     Pavarde241         8        10         3         5         9         4
Vardas242                     Pavarde242        10         7         5         8         8         4
Vardas243                     Pavarde243         2         8         5        10         7        10
Vardas244                     Pavarde244         9         1         4         7         7         6
Vardas245                     Pavarde245         5         3         4         2         3         2
Vardas246                     Pavarde246         3         6         7         5         9         1
Vardas247                     Pavarde247         2         1         6         5         3         7
Vardas248                     Pavarde248         8        10         6        10         2         1
Vardas249                     Pavarde249         9        10        10         8        10         7
Vardas250                     Pavarde250        10         1         6         8         3         3
Vardas251                     Pavarde251         1         2         6         1         6         7
Vardas252                     Pavarde252         5         6         3         4         1         7
Vardas253                     Pavarde253         5         8         2         2         9         6
Vardas254                     Pavarde254         3         1         2         2         3         5
Vardas255                     Pavarde255         6         6         3         4         3         4
Vardas256                     Pavarde256         2         2        10         9         1        10
Vardas257                     Pavarde257         6         3         5         3         4         6
Vardas258                     Pavarde258         9         5         6         2         2         1
Vardas259                     Pavarde259         5         2         7         2         5         6
Vardas260                     Pavarde260         3         4         4         7         9         5
Vardas261                     Pavarde261         9         4        10         3         4         1
Vardas262                     Pavarde262        10         3         8         3         3         8
Vardas263                     Pavarde263        10         4         1        10         1         2
Vardas264                     Pavarde264         6         9         3         6         1         3
Vardas265                     Pavarde265         9         4        10        10         4         1
Vardas266                     Pavarde266         2         6         3         8         4        10
Vardas267                     Pavarde267         7         5        10         3         4         6
Vardas268                     Pavarde268        10         8         3         5         3         5
Vardas269                     Pavarde269         7         8         6        10         3         7
Vardas270                     Pavarde270         3        10         7        10        10         9
Vardas271                     Pavarde271         1         4         7         4         8         6
Vardas272                     Pavarde272         9         8         8         2         7         2
Vardas273                     Pavarde273         4         5         4         3         3         2
Vardas274                     Pavarde274         2         2         3         4         4         1
Vardas275                     Pavarde275         1         5         6         8         1         2
Vardas276                     Pavarde276         9         7         4         1        10         7
Vardas277                     Pavarde277         3         9         5         7         7         3
Vardas278                     Pavarde278         6         2         8         2         9         5
Vardas279                     Pavarde279         1         8         8         2         3         3
Vardas280                     Pavarde280         8         5         8         6         8         4
Vardas281                     Pavarde281         9        10         4         8         2         6
Vardas282                     Pavarde282         8         6         8         3         5         5
Vardas283                     Pavarde283        10        10         7         1         2         7
Vardas284                     Pavarde284         3         4         6        10         2        10
Vardas285                     Pavarde285         2         7         4         7         5         1
Vardas286                     Pavarde286         9         2        10         6         6         2
Vardas287                     Pavarde287         8         8         9         1         5         5
Vardas288                     Pavarde288         6         4        10         7         6         4
Vardas289                     Pavarde289         8         3         2         9         5         3
Vardas290                     Pavarde290         2         1         7         1         4         8
Vardas291                     Pavarde291         9         5         8        10         6         4
Vardas292                     Pavarde292         4         7         1         9        10         8
Vardas293                     Pavarde293         5         6        10         8         6         8
Vardas294                     Pavarde294         5         6         9         8        10         6
Vardas295                     Pavarde295        10         7         7         9         6         3
Vardas296                     Pavarde296         9         4        10         4         4         4
Vardas297                     Pavarde297        10         2         5         5         6         3
Vardas298                     Pavarde298         7        10         6         1         4         1
Vardas299                     Pavarde299         3         9         4         2         8         9
Vardas300                     Pavarde300         7         9         7         8         5         1
Vardas301                     Pavarde301         1         9         8         7         5         7
Vardas302                     Pavarde302         4         8         9         5         7         9
Vardas303                     Pavarde303         3         4         1         5         5         4
Vardas304                     Pavarde304         4         3        10         8        10         8
Vardas305                     Pavarde305         2         4         4        10         1         5
Vardas306                     Pavarde306         8         5         2         9         1         9
Vardas307                     Pavarde307         9         2         8         3         4         1
Vardas308                     Pavarde308         7         1         5         9         1         4
Vardas309                     Pavarde309        10         5         6         2         2         1
Vardas310                     Pavarde310         8         1         5         6         2         5
Vardas311                     Pavarde311         3         5         1         7         8         2
Vardas312                     Pavarde312         6        10         2         6         1         1
Vardas313                     Pavarde313         6        10         5         4         5         5
Vardas314                     Pavarde314         5         5         4         6         8         8
Vardas315                     Pavarde315         8         3         5         3        10        10
Vardas316                     Pavarde316         4         8         1         1         7         7
Vardas317                     Pavarde317         3         6         9         7         2         5
Vardas318                     Pavarde318         8         9         1         3         8         6
Vardas319                     Pavarde319         2         7         5         1         6         9
Vardas320                     Pavarde320        10         3         4         3         7         9
Vardas321                     Pavarde321         4         7         7         7         4         2
Vardas322                     Pavarde322         7         3         2        10         8         5
Vardas323                     Pavarde323         3         1         3         6         1         3
Vardas324                     Pavarde324         2         3         4         8         8         7
Vardas325                     Pavarde325         6         2        10        10         8        10
Vardas326                     Pavarde326         1         7         6         2         8        10
Vardas327                     Pavarde327         8         4         6        10         3         9
Vardas328                     Pavarde328         4        10         9         8         5         2
Vardas329                     Pavarde329         8         7         1         3         2         1
Vardas330                     Pavarde330         9         8        10         5         8         3
Vardas331                     Pavarde331        10         8         1         2         5         5
Vardas332                     Pavarde332         1         6        10         8         6         6
Vardas333                     Pavarde333         5         1         9         8         4         8
Vardas334                     Pavarde334         5         9         8         6         4         3
Vardas335                     Pavarde335         8         7         3         3         3         9
Vardas336                     Pavarde336         1         6         1         7         2        10
Vardas337                     Pavarde337         1         3         8         6         3         5
Vardas338                     Pavarde338         6         1         2         4         2         8
Vardas339                     Pavarde339         2         1        10         8         5         9
Vardas340                     Pavarde340         4         9         2         3        10         7
Vardas341                     Pavarde341         6         3         4        10        10         5
Vardas342                     Pavarde342         7         8         3         1         7         2
Vardas343                     Pavarde343         6         5         7         5         8         6
Vardas344                     Pavarde344         6         7         5         2         2         1
Vardas345                     Pavarde345         7        10         8         8        10         4
Vardas346                     Pavarde346         3         6        10        10         1         3
Vardas347                     Pavarde347         9         4         7         7         4         8
Vardas348                     Pavarde348         4         4         9         5         7         4
Vardas349                     Pavarde349         1         2         7         6        10         6
Vardas350                     Pavarde350         9         6        10         2         5         1
Vardas351                     Pavarde351         7         3         4         4         6         2
Vardas352                     Pavarde352         6         3         9         6         3         1
Vardas353                     Pavarde353         2         1         4         8        10         1
Vardas354                     Pavarde354         2        10         3        10         7        10
Vardas355                     Pavarde355         2         7         1         2         1         3
Vardas356                     Pavarde356         2         6         1         5         8         4
Vardas357                     Pavarde357         6         9         2         7         4         9
Vardas358                     Pavarde358         7         1         3         7        10         1
Vardas359                     Pavarde359         3         2         3         2         8        10
Vardas360                     Pavarde360         9         8         7         3         9         4
Vardas361                     Pavarde361         9         5        10         7         4         3
Vardas362                     Pavarde362         4         7        10         6         5         3
Vardas363                     Pavarde363         2         8         2        10         5         8
Vardas364                     Pavarde364         7         7         7         8         4         5
Vardas365                     Pavarde365         8         1         8         1         7         4
Vardas366                     Pavarde366         4         6         1         3         7         7
Vardas367                     Pavarde367         9         8         4         8         7         6
Vardas368                     Pavarde368         5         7         9         4         2         8
Vardas369                     Pavarde369         2         7         5         5        10         6
Vardas370                     Pavarde370        10         9         5         1         8         4
Vardas371                     Pavarde371         3         6         2         2         1         3
Vardas372                     Pavarde372        10         1         4         6         9         5
Vardas373                     Pavarde373         9         5         2         1         1         9
Vardas374                     Pavarde374         6         9         5         8         3         9
Vardas375                     Pavarde375         1         3         6         5         1         7
Vardas376                     Pavarde376         4         1         1         6         3         3
Vardas377                     Pavarde377         1         9         3         6         6         8
Vardas378                     Pavarde378         5         8         5         1         1         7
Vardas379                     Pavarde379         7         2         4         3         6         9
Vardas380                     Pavarde380         6         1         6         7         8         6
Vardas381                     Pavarde381         8         6         4         6         7         4
Vardas382                     Pavarde382         3         8         2        10         6         2
Vardas383                     Pavarde383         8         7         1         6         7         2
Vardas384                     Pavarde384         2         6         7        10         1         5
Vardas385                     Pavarde385         8         3         4         4         1         4
Vardas386                     Pavarde386         4         5         3         8         4         2
Vardas387                     Pavarde387         8        10         8         7         2         5
Vardas388                     Pavarde388         3         1         1         5         7        10
Vardas389                     Pavarde389         8         4        10         4         3        10
Vardas390                     Pavarde390         5         9         4        10         6         6
Vardas391                     Pavarde391         8         1         8         8        10         9
Vardas392                     Pavarde392         4         1        10         8         2         9
Vardas393                     Pavarde393         6         1         5         3         7         1
Vardas394                     Pavarde394        10        10         9        10         3         3
Vardas395                     Pavarde395         9         8         2         3         7        10
Vardas396                     Pavarde396         6         9         6         9         4         8
Vardas397                     Pavarde397         6         5         5         6         1         4
Vardas398                     Pavarde398        10         9        10        10         6         4
Vardas399                     Pavarde399         9         5         8         8         2         3
Vardas400                     Pavarde400         9         8         5         3         7         6
Vardas401                     Pavarde401         4         1         3         1         1         4
Vardas402                     Pavarde402         4         9         9         4         3         2
Vardas403                     Pavarde403         1         6         6         2         5         5
Vardas404                     Pavarde404         8         9         9         6         9         9
Vardas405                     Pavarde405         5         4         2         3         5         6
Vardas406                     Pavarde406        10         7         5         9         8         6
Vardas407                     Pavarde407         8         4         7         4         7         8
Vardas408                     Pavarde408         7         3         8         3         7         4
Vardas409                     Pavarde409         2         2         5         9         5         6
Vardas410                     Pavarde410         8         4         8         6         4         7
Vardas411                     Pavarde411         9         2         8         1         1         3
Vardas412                     Pavarde412         7        10         8         5         8         6
Vardas413                     Pavarde413         9         7         6         8         6         8
Vardas414                     Pavarde414        10         2         2        10         2         6
Vardas415                     Pavarde415         6         5         4         5         4        10
Vardas416                     Pavarde416         2         3         1         4        10         3
Vardas417                     Pavarde417         1        10         5         1         7        10
Vardas418                     Pavarde418         5         9         9         7         7         3
Vardas419                     Pavarde419         5         9         2         8         6         8
Vardas420                     Pavarde420         2        10         9         6         6         2
Vardas421                     Pavarde421         2         3         3        10         5         4
Vardas422                     Pavarde422         5         2         7         5         4         5
Vardas423                     Pavarde423         4         2         5         9        10         6
Vardas424                     Pavarde424         3         3         3         6        10         4
Vardas425                     Pavarde425         4         1        10         6         5        10
Vardas426                     Pavarde426         2        10         4         9         6         8
Vardas427                     Pavarde427         1         1        10         4         4         7
Vardas428                     Pavarde428         6         1         6         3         5         2
Vardas429                     Pavarde429         4         4         4         9         4         2
Vardas430                     Pavarde430         2         8        10         8        10         3
Vardas431                     Pavarde431        10         1         2         6         2         4
Vardas432                     Pavarde432         7         1         5         4         9         3
Vardas433                     Pavarde433         1         7         6         8         3         3
Vardas434                     Pavarde434         1         7         1         2         9         6
Vardas435                     Pavarde435        10         4         4         2         9         3
Vardas436                     Pavarde436         8         3         2         2         6         8
Vardas437                     Pavarde437        10         8         2         7         1         7
Vardas438                     Pavarde438         3         2        10         2         5         1
Vardas439                     Pavarde439         4         1         9         6         1         8
Vardas440                     Pavarde440         6         8        10        10         3         4
Vardas441                     Pavarde441         8        10        10         8        10        10
Vardas442                     Pavarde442         9         9         6         6         8         6
Vardas443                     Pavarde443        10         5         6         7         3         7
Vardas444                     Pavarde444         1         9        10         2         5         6
Vardas445                     Pavarde445         1         8         9         5         6         9
Vardas446                     Pavarde446         2         9         6         3         6         2
Vardas447                     Pavarde447         1         1         3         1         3         1
Vardas448                     Pavarde448         2         1         6         1         5         7
Vardas449                     Pavarde449         6         9         8         5        10         4
Vardas450                     Pavarde450         5         7         5         2         2         6
Vardas451                     Pavarde451         9         4         8         3         4         6
Vardas452                     Pavarde452         2         4         9         8         1         7
Vardas453                     Pavarde453        10         2        10         1         5         6
Vardas454                     Pavarde454         9         2         8         2         4         1
Vardas455                     Pavarde455         9         6         7         5         4         5
Vardas456                     Pavarde456         8         6        10         4         7         6
Vardas457                     Pavarde457         2         9        10         1        10         8
Vardas458                     Pavarde458         3         5         5         1         4         2
Vardas459                     Pavarde459         9         5         9         9         8         3
Vardas460                     Pavarde460         9         7         6         8         3         8
Vardas461                     Pavarde461        10         1         1         2         8         2
Vardas462                     Pavarde462        10         1         5         8         7         6
Vardas463                     Pavarde463         2         5         6         6        10        10
Vardas464                     Pavarde464        10        10         3         5         1         7
Vardas465                     Pavarde465         3         3         2         1         5         8
Vardas466                     Pavarde466         4         8         2         6         9         5
Vardas467                     Pavarde467         3         9         6         9         3         1
Vardas468                     Pavarde468        10         1         8         3         7         9
Vardas469                     Pavarde469         9         1         4        10         8         3
Vardas470                     Pavarde470         5         4         1         2         6         9
Vardas471                     Pavarde471         8         4         5         5         8         3
Vardas472                     Pavarde472         5        10        10         5         8         6
Vardas473                     Pavarde473         9         8         4         8         1         4
Vardas474                     Pavarde474         1         4         7         9         7         1
Vardas475                     Pavarde475         3         8        10         2         7         8
Vardas476                     Pavarde476         2         9         6         9         2         4
Vardas477                     Pavarde477         8         1         3         4         3        10
Vardas478                     Pavarde478         4         9         4         9         8         1
Vardas479                     Pavarde479         9         7         4         6         9         2
Vardas480                     Pavarde480         7         4         9         5         8         8
Vardas481                     Pavarde481         3         7         2         4         1         8
Vardas482                     Pavarde482         5         2         6        10         3         7
Vardas483                     Pavarde483         9         1         6         3         4         6
Vardas484                     Pavarde484         8         6         3         9         7         9
Vardas485                     Pavarde485         8         3         4         7         7         2
Vardas486                     Pavarde486        10         5         3         1         8         9
Vardas487                     Pavarde487         2         4         5         3         6         9
Vardas488                     Pavarde488         3         8         8         6         8         2
Vardas489                     Pavarde489         3         8         5         9         4         6
Vardas490                     Pavarde490         2        10         4         4         5         2
Vardas491                     Pavarde491         9        10         4         9         8         3
Vardas492                     Pavarde492         4         9         2         2        10        10
Vardas493                     Pavarde493         1         2         7         4         8         5
Vardas494                     Pavarde494         9        10         6         1         8         8
Vardas495                     Pavarde495         6         9         7         5         8         7
Vardas496                     Pavarde496         9         8         3         2        10         8
Vardas497                     Pavarde497         7         8         1         9         2         3
Vardas498                     Pavarde498         3         6        10         2         9         3
Vardas499                     Pavarde499         4         4         1         7         3         5
Vardas500                     Pavarde500         1         2         8         1         9         6
Vardas501                     Pavarde501         6         8         5         2         6        10
Vardas502                     Pavarde502        10         8         1         4         3         3
Vardas503                     Pavarde503         4        10         5         2         5         3
Vardas504                     Pavarde504         8         5         5         7         5         8
Vardas505                     Pavarde505         9         9         5         8         6         3
Vardas506                     Pavarde506         7         8         6         5         5         9
Vardas507                     Pavarde507         4         4         1         5         1         3
Vardas508                     Pavarde508         5         6        10         5         6         7
Vardas509                     Pavarde509        10         1         1         1         2         5
Vardas510                     Pavarde510        10         8         3         1         5         4
Vardas511                     Pavarde511         1         5         9         8         2         1
Vardas512                     Pavarde512         3         5         6        10         4         6
Vardas513                     Pavarde513         9         9         8        10         5         2
Vardas514                     Pavarde514         8         8         1        10         3         3
Vardas515                     Pavarde515         4         3         2         3         8         8
Vardas516                     Pavarde516         9         8         4         3         2         4
Vardas517                     Pavarde517         3         8         1         6         1        10
Vardas518                     Pavarde518         4         6         5         8         9         4
Vardas519                     Pavarde519         1         5         2         8        10         6
Vardas520                     Pavarde520         4         3        10        10         9         1
Vardas521                     Pavarde521         9        10         8         1         9         9
Vardas522                     Pavarde522         7         3         3         8         4         2
Vardas523                     Pavarde523         2         2         8         9         4         2
Vardas524                     Pavarde524         3         8         9         9         7         5
Vardas525                     Pavarde525         4         4         1         5         4         8
Vardas526                     Pavarde526         3        10         8         3         5         9
Vardas527                     Pavarde527         6         1         9         5         7         1
Vardas528                     Pavarde528         5         6         9         2        10         2
Vardas529                     Pavarde529        10         2         7         1         4         3
Vardas530                     Pavarde530         2         9         1         3        10        10
Vardas531                     Pavarde531        10         2         5         5         5         2
Vardas532                     Pavarde532         5         2         8         2        10         8
Vardas533                     Pavarde533         6         7         2         2         9         3
Vardas534                     Pavarde534         4         9         4         4         1         9
Vardas535                     Pavarde535         4         8         1        10         4        10
